reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,60,89,24,3,3,t,1.9981906000175513,None,3,3,24,4,53.481378500000574,,53.47316719999071,53.481378500000574,54.464611399977,54.464611399977,54.48145999998087,56.465352400031406,t,1.9981906000175513,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,25,4,3,l,0.8849095000186935,None,3,4,25,2,56.48131280002417,,56.47256219998235,56.48131280002417,57.464856799982954,57.464856799982954,57.481109599990305,58.36523210001178,l,0.8849095000186935,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,26,5,3,l,1.8480376999941655,None,3,5,26,5,58.38086370000383,,58.37055240001064,58.38086370000383,59.3646009999793,59.3646009999793,59.38133740000194,61.21525170002133,l,1.8480376999941655,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,27,6,3,l,1.6146461999742314,None,3,6,27,3,61.23109920002753,,61.22243000002345,61.23109920002753,62.21466350002447,62.21466350002447,62.23115339997457,63.8315896000131,l,1.6146461999742314,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,28,0,4,l,0.8445763000054285,None,4,0,28,0,63.84745270002168,,63.83783869998297,63.84745270002168,64.83085859997664,64.83085859997664,64.84788120002486,65.68166489998112,l,0.8445763000054285,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,29,1,4,t,1.2030788999982178,None,4,1,29,4,65.69759070000146,,65.68852419999894,65.69759070000146,66.68113089998951,66.68113089998951,66.69774179998785,67.89806919998955,t,1.2030788999982178,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,30,2,4,l,1.3620390999712981,None,4,2,30,1,67.91387759998906,,67.90123299998231,67.91387759998906,68.91403570002876,68.91403570002876,68.91403570002876,70.28162070002872,l,1.3620390999712981,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,31,3,4,t,2.2957684999564663,None,4,3,31,3,70.29741479997756,,70.28844889998436,70.29741479997756,71.28113140002824,71.28113140002824,71.29763629997615,73.58156560000498,t,2.2957684999564663,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,32,4,4,t,0.9844052999978885,None,4,4,32,6,73.59741260000737,,73.59125930001028,73.59741260000737,74.5808612999972,74.5808612999972,74.59752030001255,75.58132100000512,t,0.9844052999978885,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,33,5,4,l,0.9421484000049531,None,4,5,33,2,75.5975494000013,,75.5881922999979,75.5975494000013,76.59704169997713,76.59704169997713,76.59704169997713,77.54840049997438,l,0.9421484000049531,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
