delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Polygon.started,Polygon_2.started,key_resp.started,Polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,207,3,17,space,0.8201220000628382,None,150,1,[1.3385532000102103],[1.338566999998875],17,3,207,4,1000.6797880000668,,1000.6647008000873,1000.6797880000668,1001.679177800077,1001.679177800077,1001.679177800077,1002.5131446000887,space,0.8201220000628382,None,1002.5143916000379,0.3994350000284612,0.6994453000370413,1003.2278370000422,1003.2284898000071,1003.2414809000911,1003.2414809000911,1003.2414809000911,1004.580398100079,150,1,[1.3385532000102103],[1.338566999998875],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,208,4,17,space,0.42157999996561557,None,400,1,[3.384307699976489],[3.38432469998952],17,4,208,9,1004.5955031000776,,1004.5806238000514,1004.5955031000776,1005.5956628000131,1005.5956628000131,1005.5956628000131,1006.0298351000529,space,0.42157999996561557,None,1006.0309423999861,0.09923389996401966,0.39920109999366105,1006.4484593999805,1006.449084800086,1006.4624570000451,1006.4624570000451,1006.4624570000451,1009.8472367000068,400,1,[3.384307699976489],[3.38432469998952],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,400,unexp,209,5,17,space,1.2849163999781013,None,700,1,[4.803404400008731],[4.803417699993588],17,5,209,2,1009.8628201000392,,1009.8476417000638,1009.8628201000392,1010.8623505000724,1010.8623505000724,1010.8623505000724,1012.1631608000025,space,1.2849163999781013,None,1012.1643466000678,0.6990379999624565,0.999131300020963,1013.1790115000913,1013.1796160000376,1013.1924848000053,1013.1924848000053,1013.1924848000053,1017.9962246000068,700,1,[4.803404400008731],[4.803417699993588],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,210,6,17,space,0.5540570999728516,None,100,1,[1.387582499999553],[1.3875896000536159],17,6,210,11,1018.0119524000911,,1017.9965114999795,1018.0119524000911,1019.0120481000049,1019.0120481000049,1019.0120481000049,1019.5791152000893,space,0.5540570999728516,None,1019.5799634000286,0.6993781999917701,0.9993945999303833,1020.5944422000321,1020.5951655000681,1020.6085878000595,1020.6085878000595,1020.6085878000595,1021.9964479000773,100,1,[1.387582499999553],[1.3875896000536159],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,211,7,17,space,0.3245070999255404,None,400,1,[0.9802719000726938],[0.9802839000476524],17,7,211,10,1022.0116169999819,,1021.9969864999875,1022.0116169999819,1023.0117778000422,1023.0117778000422,1023.0117778000422,1023.3456959000323,space,0.3245070999255404,None,1023.3464712999994,0.3995159000623971,0.6995620001107454,1024.0548372999765,1024.0553239000728,1024.0659041000763,1024.0659041000763,1024.0659041000763,1025.046585300006,400,1,[0.9802719000726938],[0.9802839000476524],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,212,8,17,space,0.29280840000137687,None,100,1,[1.1434742999263108],[1.143486600019969],17,8,212,3,1025.0622067999793,,1025.0476486000698,1025.0622067999793,1026.0617776000872,1026.0617776000872,1026.0617776000872,1026.3622684000293,space,0.29280840000137687,None,1026.363016600022,0.09927330003120005,0.39947069995105267,1026.7750947000459,1026.7755784000037,1026.7860026999842,1026.7860026999842,1026.7860026999842,1027.9299032000126,100,1,[1.1434742999263108],[1.143486600019969],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,213,9,17,space,0.05111950007267296,None,100,1,[0.9109446000074968],[0.9109561999794096],17,9,213,7,1027.9449621000094,,1027.9301945000188,1027.9449621000094,1028.9450081000105,1028.9450081000105,1028.9450081000105,1029.0121408000123,space,0.05111950007267296,None,1029.012888600002,0.3993945000693202,0.699750000028871,1029.7278513000347,1029.7283797999844,1029.7349447000306,1029.7349447000306,1029.7349447000306,1030.6470800000243,100,1,[0.9109446000074968],[0.9109561999794096],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,214,10,17,space,0.3788825999945402,None,960,1,[2.016374300001189],[2.0163879999890924],17,10,214,5,1030.661911400035,,1030.6474276999943,1030.661911400035,1031.6615430000238,1031.6615430000238,1031.6615430000238,1032.0454597000498,space,0.3788825999945402,None,1032.0461531999754,0.6998268000315875,0.9994849000358954,1033.0567399000283,1033.0570701999823,1033.0632666000165,1033.0632666000165,1033.0632666000165,1035.0800737000536,960,1,[2.016374300001189],[2.0163879999890924],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,400,unexp,215,11,17,space,0.2146035999758169,None,850,1,[1.3209696999983862],[1.3209808999672532],17,11,215,0,1035.0949988000793,,1035.0804312999826,1035.0949988000793,1036.0950978000183,1036.0950978000183,1036.0950978000183,1036.312185100047,space,0.2146035999758169,None,1036.3135970000876,0.09940479998476803,0.39946009998675436,1036.7279717000201,1036.728575700079,1036.742209500051,1036.742209500051,1036.742209500051,1038.0637940000743,850,1,[1.3209696999983862],[1.3209808999672532],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,216,0,18,space,0.2592321999836713,None,345,1,[1.4563195999944583],[1.4563333000987768],18,0,216,4,1038.0780366000254,,1038.0641831000103,1038.0780366000254,1039.0779271000065,1039.0779271000065,1039.0779271000065,1039.3456723000854,space,0.2592321999836713,None,1039.346287399996,0.3992742000846192,0.6990788000402972,1040.057317400002,1040.0579534000717,1040.0728949999902,1040.0728949999902,1040.0728949999902,1041.5296177000273,345,1,[1.4563195999944583],[1.4563333000987768],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
